URL_ID,URL,Positive SCORE,Negative SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,73,32,0.39,0.097,19.618,21.409,16.411,19.618,231,1079,2.076,633,7.816
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,74,38,0.321,0.161,12.393,18.012,12.162,12.393,125,694,1.775,350,6.866
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,65,42,0.215,0.114,13.97,21.368,14.135,13.97,200,936,2.058,546,7.691
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,66,27,0.419,0.122,11.418,16.078,10.998,11.418,123,765,1.822,420,7.014
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,63,25,0.432,0.097,13.567,15.402,11.588,13.567,140,909,1.851,430,7.068
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,50,26,0.316,0.122,14.512,20.994,14.202,14.512,131,624,1.857,296,7.138
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,32,11,0.488,0.109,9.85,17.513,10.945,9.85,69,394,1.85,177,6.98
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0,0,0.0,0.0,4.0,25.0,11.6,4.0,1,4,1.75,2,7.75
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,38,13,0.49,0.136,12.897,13.102,10.4,12.897,49,374,1.652,141,6.65
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,73,39,0.304,0.102,16.388,16.211,13.04,16.388,178,1098,1.858,554,7.069
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,48,70,-0.186,0.109,11.761,13.216,9.991,11.761,143,1082,1.747,473,6.848
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,37,20,0.298,0.089,16.05,22.43,15.392,16.05,144,642,2.103,422,7.899
49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,33,30,0.048,0.091,14.184,14.82,11.602,14.184,103,695,1.787,337,6.876
50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,68,24,0.478,0.128,22.531,18.031,16.225,22.531,130,721,2.031,389,7.502
51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,71,23,0.511,0.116,17.17,18.959,14.452,17.17,153,807,1.944,437,7.333
52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,21,0,1.0,0.073,16.941,21.181,15.249,16.941,61,288,2.08,145,7.938
53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,82,39,0.355,0.155,130.0,18.077,59.231,130.0,141,780,1.922,411,7.265
54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,23,0,1.0,0.061,15.792,18.206,13.599,15.792,69,379,2.034,215,7.739
55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,17,5,0.545,0.057,18.238,21.149,15.755,18.238,81,383,2.23,257,8.272
56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,1,3,-0.5,0.048,84.0,26.19,44.076,84.0,22,84,2.19,52,8.214
57,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,0,0,0.0,0.0,4.0,25.0,11.6,4.0,1,4,1.75,2,7.75
58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,32,80,-0.429,0.152,17.524,16.44,13.586,17.524,121,736,1.872,341,7.298
59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,14,16,-0.067,0.08,16.348,18.351,13.88,16.348,69,376,1.862,204,7.176
60,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,57,39,0.187,0.106,11.921,13.355,10.11,11.921,121,906,1.872,529,7.121
61,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,40,4,0.818,0.128,12.741,19.186,12.771,12.741,66,344,1.913,158,7.5
62,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,5,1,0.667,0.028,16.308,15.566,12.75,16.308,33,212,1.693,79,6.906
63,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,24,7,0.548,0.073,24.882,14.657,15.816,24.882,62,423,1.792,173,6.953
64,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,15,8,0.304,0.084,21.0,26.007,18.803,21.0,71,273,2.022,174,7.597
65,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,27,8,0.543,0.194,7.826,20.0,11.13,7.826,36,180,1.894,106,7.611
66,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,5,0,1.0,0.054,11.625,24.731,14.542,11.625,23,93,2.215,44,7.925
67,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,24,38,-0.226,0.148,7.741,14.833,9.03,7.741,62,418,1.565,165,6.371
68,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,10,4,0.429,0.161,14.5,19.54,13.616,14.5,17,87,1.851,36,7.092
69,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,39,12,0.529,0.132,17.591,20.93,15.408,17.591,81,387,2.103,235,8.008
70,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,1,8,-0.778,0.129,14.0,17.143,12.457,14.0,12,70,1.771,26,7.086
71,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,10,24,-0.412,0.207,8.632,17.683,10.526,8.632,29,164,1.86,77,6.921
72,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,30,51,-0.259,0.088,18.32,23.144,16.586,18.32,212,916,2.087,540,7.987
73,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,43,21,0.344,0.08,18.698,17.662,14.544,18.698,142,804,1.801,372,7.112
74,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,37,33,0.057,0.09,13.579,16.15,11.892,13.579,125,774,1.702,356,6.897
75,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,25,5,0.667,0.078,7.68,16.667,9.739,7.68,64,384,1.698,143,6.828
76,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,49,8,0.719,0.095,10.927,15.141,10.427,10.927,91,601,1.747,233,6.913
77,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,34,6,0.7,0.198,13.467,18.812,12.912,13.467,38,202,1.901,121,7.104
78,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,42,17,0.424,0.067,19.6,18.367,15.187,19.6,162,882,1.933,483,7.396
79,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,25,72,-0.485,0.202,8.153,17.672,10.33,8.153,85,481,1.607,210,6.622
80,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,62,23,0.459,0.158,9.782,9.48,7.705,9.782,51,538,1.599,216,6.552
81,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,22,33,-0.2,0.099,19.103,10.289,11.757,19.103,57,554,1.626,233,6.686
82,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,28,22,0.12,0.087,14.769,22.917,15.074,14.769,132,576,2.161,327,7.703
83,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,23,76,-0.535,0.2,8.821,17.409,10.492,8.821,86,494,1.623,217,6.674
84,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,22,13,0.257,0.1,14.583,19.714,13.719,14.583,69,350,1.786,147,6.946
85,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,9,8,0.059,0.113,15.1,17.219,12.928,15.1,26,151,1.874,73,7.212
86,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,26,19,0.156,0.111,27.067,18.966,18.413,27.067,77,406,1.938,197,7.559
87,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,19,31,-0.24,0.08,17.914,17.703,14.247,17.914,111,627,1.826,308,7.287
88,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,37,16,0.396,0.024,22.636,7.586,12.089,22.636,170,2241,1.561,697,6.608
89,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,45,50,-0.053,0.108,14.361,16.781,12.457,14.361,147,876,1.842,424,7.265
90,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,29,71,-0.42,0.117,17.792,19.438,14.892,17.792,166,854,1.91,506,7.453
91,https://insights.blackcoffer.com/human-rights-outlook/,3,1,0.5,0.061,16.5,21.212,15.085,16.5,14,66,1.773,30,7.303
92,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,27,4,0.742,0.071,15.103,14.384,11.795,15.103,63,438,1.605,182,6.71
93,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,39,34,0.068,0.089,7.951,16.972,9.969,7.951,139,819,1.912,390,7.178
94,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,50,16,0.515,0.073,13.862,15.76,11.849,13.862,142,901,1.76,387,7.103
95,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,32,36,-0.059,0.122,15.5,17.204,13.082,15.5,96,558,1.821,291,7.177
96,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,20,50,-0.429,0.071,23.951,16.599,16.22,23.951,163,982,2.018,512,7.519
97,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,14,40,-0.481,0.106,15.875,16.929,13.122,15.875,86,508,1.9,287,7.323
98,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,37,57,-0.213,0.16,8.909,17.007,10.366,8.909,100,588,1.777,303,6.964
99,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,26,31,-0.088,0.109,19.37,19.312,15.473,19.37,101,523,1.956,280,7.384
100,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,19,41,-0.367,0.086,30.261,21.839,20.84,30.261,152,696,1.966,421,7.838
101,https://insights.blackcoffer.com/travel-and-tourism-outlook/,4,3,0.143,0.079,17.8,19.101,14.76,17.8,17,89,1.685,40,6.966
102,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,30,50,-0.25,0.135,12.574,18.105,12.272,12.574,107,591,1.702,255,6.763
103,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,9,31,-0.55,0.111,22.5,16.667,15.667,22.5,60,360,1.761,174,7.097
104,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,29,60,-0.348,0.142,14.535,22.08,14.646,14.535,138,625,2.022,304,7.557
105,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,24,36,-0.2,0.13,17.037,13.913,12.38,17.037,64,460,1.841,192,7.054
106,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,1,0,1.0,0.011,31.333,22.34,21.469,31.333,21,94,2.032,69,7.447
107,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,13,3,0.625,0.056,12.909,15.493,11.361,12.909,44,284,1.694,119,6.803
108,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,32,60,-0.304,0.189,27.111,21.926,19.615,27.111,107,488,1.975,248,7.539
109,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis/,30,29,0.017,0.204,18.062,11.419,11.792,18.062,33,289,1.554,122,6.519
110,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding/,6,41,-0.745,0.08,26.545,16.781,17.33,26.545,98,584,1.75,274,7.293
111,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-2/,16,34,-0.36,0.097,13.632,14.286,11.167,13.632,74,518,1.965,297,7.566
112,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-3/,26,60,-0.395,0.146,14.366,21.562,14.371,14.366,127,589,1.854,282,7.441
113,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-3/,18,22,-0.1,0.098,14.536,17.445,12.792,14.536,71,407,1.892,205,7.14
114,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work/,58,50,0.074,0.128,13.565,12.247,10.325,13.565,103,841,1.728,343,6.773
115,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding-2/,27,48,-0.28,0.086,22.895,16.667,15.825,22.895,145,870,1.886,469,7.177
116,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-4/,31,26,0.088,0.144,44.0,11.869,22.348,44.0,47,396,1.566,158,6.432
117,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-2/,34,84,-0.424,0.125,20.911,18.597,15.803,20.911,175,941,1.885,458,7.472
118,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-3/,40,52,-0.13,0.159,9.323,11.938,8.504,9.323,69,578,1.554,232,6.495
119,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-4/,10,15,-0.2,0.127,21.889,22.843,17.893,21.889,45,197,2.168,148,8.01
120,https://insights.blackcoffer.com/why-scams-like-nirav-modi-happen-with-indian-banks/,53,109,-0.346,0.123,17.838,15.303,13.256,17.838,202,1320,1.858,695,7.105
121,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy/,39,68,-0.271,0.163,11.75,12.614,9.746,11.75,83,658,1.611,258,6.492
122,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy-2/,35,70,-0.333,0.111,13.754,15.806,11.824,13.754,150,949,1.729,449,6.843
123,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy-2/,40,77,-0.316,0.128,22.9,17.686,16.234,22.9,162,916,1.897,484,7.456
124,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-3/,20,45,-0.385,0.123,14.297,16.635,12.373,14.297,88,529,1.819,305,7.151
125,https://insights.blackcoffer.com/should-celebrities-be-allowed-to-join-politics/,62,23,0.459,0.088,18.226,18.944,14.868,18.226,183,966,1.898,569,7.441
126,https://insights.blackcoffer.com/how-prepared-is-india-to-tackle-a-possible-covid-19-outbreak/,19,23,-0.095,0.093,16.704,19.069,14.309,16.704,86,451,1.858,233,7.204
127,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work/,42,85,-0.339,0.173,17.452,15.825,13.311,17.452,116,733,1.858,391,7.277
128,https://insights.blackcoffer.com/controversy-as-a-marketing-strategy/,8,17,-0.36,0.174,11.077,15.972,10.82,11.077,23,144,1.847,71,7.333
129,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry/,5,9,-0.286,0.049,19.067,18.531,15.039,19.067,53,286,1.885,139,7.266
130,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets/,24,62,-0.442,0.087,109.333,13.211,49.018,109.333,130,984,1.932,456,7.402
131,https://insights.blackcoffer.com/what-are-the-key-policies-that-will-mitigate-the-impacts-of-covid-19-on-the-world-of-work/,99,31,0.523,0.135,15.581,19.151,13.893,15.581,185,966,1.892,474,7.319
132,https://insights.blackcoffer.com/marketing-drives-results-with-a-focus-on-problems/,28,24,0.077,0.071,14.314,15.068,11.753,14.314,110,730,1.84,381,7.427
133,https://insights.blackcoffer.com/continued-demand-for-sustainability/,25,22,0.064,0.118,16.542,24.937,16.592,16.542,99,397,2.131,229,7.897
134,https://insights.blackcoffer.com/coronavirus-disease-covid-19-effect-the-impact-and-role-of-mass-media-during-the-pandemic/,8,10,-0.111,0.094,24.0,23.438,18.975,24.0,45,192,2.057,122,7.755
135,https://insights.blackcoffer.com/should-people-wear-fabric-gloves-seeking-evidence-regarding-the-differential-transfer-of-covid-19-or-coronaviruses-generally-between-surfaces/,7,6,0.077,0.079,14.909,10.366,10.11,14.909,17,164,1.451,57,6.378
136,https://insights.blackcoffer.com/why-is-there-a-severe-immunological-and-inflammatory-explosion-in-those-affected-by-sarms-covid-19/,1,17,-0.889,0.099,26.0,23.077,19.631,26.0,42,182,2.082,100,7.984
137,https://insights.blackcoffer.com/what-do-you-think-is-the-lesson-or-lessons-to-be-learned-with-covid-19/,3,10,-0.538,0.102,21.333,18.75,16.033,21.333,24,128,1.797,61,6.93
138,https://insights.blackcoffer.com/coronavirus-the-unexpected-challenge-for-the-european-union/,5,13,-0.444,0.154,29.25,37.607,26.743,29.25,44,117,2.128,68,8.248
139,https://insights.blackcoffer.com/industrial-revolution-4-0-pros-and-cons/,7,1,0.75,0.072,18.5,25.225,17.49,18.5,28,111,1.973,63,7.153
140,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy/,16,51,-0.522,0.13,14.333,12.984,10.927,14.333,67,516,1.797,229,6.89
141,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-2/,5,21,-0.615,0.115,18.833,18.142,14.79,18.833,41,226,1.898,117,7.124
142,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy/,40,75,-0.304,0.116,17.643,19.433,14.83,17.643,192,988,1.945,551,7.374
143,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-global-economy/,9,24,-0.455,0.102,14.087,16.667,12.302,14.087,54,324,1.892,148,7.364
144,https://insights.blackcoffer.com/ensuring-growth-through-insurance-technology/,0,0,0.0,0.0,4.0,25.0,11.6,4.0,1,4,1.75,2,7.75
145,https://insights.blackcoffer.com/blockchain-in-fintech/,12,11,0.043,0.064,12.786,16.201,11.595,12.786,58,358,1.95,170,7.818
146,https://insights.blackcoffer.com/blockchain-for-payments/,26,29,-0.055,0.112,12.974,24.746,15.088,12.974,122,493,1.947,243,7.803
147,https://insights.blackcoffer.com/the-future-of-investing/,37,14,0.451,0.082,16.757,18.387,14.058,16.757,114,620,1.916,308,7.421
148,https://insights.blackcoffer.com/big-data-analytics-in-healthcare/,39,47,-0.093,0.129,10.918,15.616,10.614,10.918,104,666,1.872,353,7.071
149,https://insights.blackcoffer.com/business-analytics-in-the-healthcare-industry/,36,4,0.8,0.132,18.938,24.422,17.344,18.938,74,303,2.244,202,8.191
150,https://insights.blackcoffer.com/challenges-and-opportunities-of-big-data-in-healthcare/,42,42,0.0,0.148,9.328,18.102,10.972,9.328,103,569,1.907,299,7.179
